,sample,n_cpg,n_cpg_filtered
0,cfDNA_Day0,21863444,19988254
1,cfDNA_Day1_DNMT1i,21861657,19898785
2,cfDNA_Day2_DNMT1i,21862621,19876986
3,cfDNA_Day3_DNMT1i,21860198,19746676
4,cfDNA_Day4_DNMT1i_Recovery,21857554,19653462
5,cfDNA_Day5_DNMT1i_Recovery,21861687,19903294
6,cfDNA_Day6_DNMT1i_Recovery,21862594,19909717
7,gDNA_Day0,21855590,19636608
8,gDNA_Day1_DNMT1i,21858528,19868915
9,gDNA_Day2_DNMT1i,21860170,19901043
10,gDNA_Day3_DMSO-Control,21858275,19840202
11,gDNA_Day3_DNMT1i,21857552,19931285
12,gDNA_Day4_DNMT1i_Recovery,21850286,19398612
13,gDNA_Day5_DNMT1i_Recovery,21855407,19714831
14,gDNA_Day6_DNMT1i_Recovery,21850043,19278787
15,mm10,21867837,20383623
