biol_rep,specimen,sample,n_cpg,n_cpg_filtered,day,filtering,input_ng,input_fmol,input_ng_normalized_bef-adapter-lig,input_fmol_normalized_bef-adapter-lig
1,reference,Genome_Chm13v2,33896489,31649138,NaN,1X,NaN,NaN,NaN,NaN
2,reference,Genome_Chm13v2,33896489,31649138,NaN,1X,NaN,NaN,NaN,NaN
3,reference,Genome_Chm13v2,33896489,31649138,NaN,1X,NaN,NaN,NaN,NaN
4,reference,Genome_Chm13v2,33896489,31649138,NaN,1X,NaN,NaN,NaN,NaN
1,cell-free DNA,FoPHepN1_cfDNA_D0.chm13,24911992,23829672,0,1X,18,12.8,14.6,10.4
1,cell-free DNA,FoPHepN1_cfDNA_D10.chm13,28623018,27227073,10,1X,18.2,25.2,14.6,20.5
1,cell-free DNA,FoPHepN1_cfDNA_D20.chm13,23754156,22757913,20,1X,11.3,10.3,10.1,9.2
1,gDNA,FoPHepN1_gDNA_D0.chm13,31102440,29316831,0,1X,218.4,25.8,88.4,10
1,gDNA,FoPHepN1_gDNA_D10.chm13,29292136,27735267,10,1X,105.4,25.8,59.3,10
1,gDNA,FoPHepN1_gDNA_D20.chm13,31536776,29666676,20,1X,204.7,25.8,86.1,10
2,cell-free DNA,FoPHepN2_cfDNA_D0.chm13,31928839,30005797,0,1X,77.1,140,57,95.5
2,cell-free DNA,FoPHepN2_cfDNA_D10.chm13,28997907,27577353,10,1X,40.6,140,20.6,95.5
2,cell-free DNA,FoPHepN2_cfDNA_D20.chm13,30205368,28574851,20,1X,52.4,140,28,95.5
2,gDNA,FoPHepN2_gDNA_D0.chm13,30389879,28738839,0,1X,229.9,96,132.8,48.5
2,gDNA,FoPHepN2_gDNA_D10.chm13,30790586,29066560,10,1X,297.6,89.5,153.5,48.5
2,gDNA,FoPHepN2_gDNA_D20.chm13,31215188,29415760,20,1X,336,111.6,165.7,48.5
3,cell-free DNA,FoPHepN3_cfDNA_D0.chm13,32241385,30246833,0,1X,120.3,225,51.3,98
3,cell-free DNA,FoPHepN3_cfDNA_D10.chm13,29319719,27886444,10,1X,63.3,225,20.4,98
3,cell-free DNA,FoPHepN3_cfDNA_D20.chm13,29185862,27624151,20,1X,19.7,59,25,98
3,gDNA,FoPHepN3_gDNA_D20.chm13,30745402,29023666,20,1X,190.8,91.9,131.7,48.5
4,cell-free DNA,FoPHepN4_cfDNA_D0.chm13,31717351,29841023,0,1X,126.9,250,75.7,170
4,cell-free DNA,FoPHepN4_cfDNA_D10.chm13,21749722,20977031,10,1X,22.2,257.4,14.3,209
4,cell-free DNA,FoPHepN4_cfDNA_D20.chm13,27169458,26029923,20,1X,24.8,252,15.4,209
4,gDNA,FoPHepN4_gDNA_D0.chm13,29994024,28401446,0,1X,357.6,432,207,69.9
4,gDNA,FoPHepN4_gDNA_D10.chm13,29100183,27584214,10,1X,379.2,468,172.4,69.9
4,gDNA,FoPHepN4_gDNA_D20.chm13,30230232,28585032,20,1X,501.6,585.6,234.2,69.9
1,reference,Genome_Chm13v2,33896489,31649138,NaN,2X,,,,
2,reference,Genome_Chm13v2,33896489,31649138,NaN,2X,,,,
3,reference,Genome_Chm13v2,33896489,31649138,NaN,2X,,,,
4,reference,Genome_Chm13v2,33896489,31649138,NaN,2X,,,,
1,cell-free DNA,FoPHepN1_cfDNA_D0.chm13,24911992,15195389,0,2X,,,,
1,cell-free DNA,FoPHepN1_cfDNA_D10.chm13,28623018,21958589,10,2X,,,,
