	0	1	2	FoPHepN4_cfDNA_D10.chm13	FoPHepN1_cfDNA_D20.chm13	FoPHepN2_cfDNA_D10.chm13	FoPHepN1_cfDNA_D0.chm13	FoPHepN1_cfDNA_D10.chm13	FoPHepN4_cfDNA_D20.chm13	FoPHepN1_gDNA_D10.chm13	FoPHepN4_gDNA_D10.chm13	FoPHepN3_gDNA_D20.chm13	FoPHepN2_gDNA_D0.chm13	FoPHepN3_cfDNA_D10.chm13	FoPHepN3_cfDNA_D0.chm13	FoPHepN4_gDNA_D20.chm13	FoPHepN3_cfDNA_D20.chm13	FoPHepN1_gDNA_D0.chm13	FoPHepN2_gDNA_D20.chm13	FoPHepN4_gDNA_D0.chm13	FoPHepN2_cfDNA_D20.chm13	FoPHepN2_gDNA_D10.chm13	FoPHepN1_gDNA_D20.chm13	FoPHepN2_cfDNA_D0.chm13	FoPHepN4_cfDNA_D0.chm13
0	chr1	413846	414344	0.09649473684	0.2341285714	0.125	0.1428571429	0.1	0.0875	0.03968095238	0.07894736842	0	0.226247619	0.01470588235	0.1765857143	0	0.05	0.1769809524	0	0.041665	0.2333333333	0.06607142857	0.1041625	0.1797857143	0.1528904762
1	chr1	507691	508547	0.02027027027	0.03095142857	0.11875	0.1304347826	0.03769761905	0.05329047619	0.05476190476	0.02380952381	0.05	0.3278934783	0.04144324324	0.166576087	0.09848181818	0.008129268293	0.09795434783	0.01162790698		0.03333333333	0.03405652174	0.0347826087	0.1338108696	0.09815652174
2	chr1	659549	661057	0.04885103448	0.04854368932	0.05997094017	0.09615384615	0.09410074627	0.03983271605	0.06603867925	0.04785544554	0.07224575163	0.07472013423	0.04275901639	0.07026071429	0.07692307692	0.04639175258	0.0515060241	0.05411428571	0.073575	0.0253164557	0.04869929078	0.06591354839	0.09304329268	0.053175
3	chr1	802639	802930	0.1428571429		0.2142857143	0.04761428571	0.1111	0.1904714286	0.25	0.083325	0.125	0.125	0.11875	0.24545	0.0458375		0.2142875	0.11875	0.07142857143	0.08332857143	0.215775	0.2374875	0.333825	0.31995
4	chr1	830295	830496	0.3104125	0.3333333333	0.5861125	0.7208375	0.3604125	0.66666	0.2857142857	0.375	0.2083375	0.48125	0.6666625	0.5431125	0.3104125	0	0.4375	0.1458375	0.495975	0.1428571429	0.5958375	0.2579375	0.5833125	0.539875
5	chr1	832200	832357	0.875		0.65	0.708325	0.416675	0.3333333333	0.083325	0.416675	0.3333333333	0.41965	0.803575	0.579225	0.6		0.641675	0.341675	0.660725	0.391675	0.41665	0.423825	0.685125	0.6726
6	chr1	905417	907139	0.01335952381	0.01363636364	0.01280217391	0.01204819277	0.03197674419	0.02151276596	0.021666	0.01269809524	0.01060884354	0.03207045455	0.03145080645	0.02423624161	0.01937984496	0.009886440678	0.04022931034	0.006258108108	0.01732283465	0.003508421053	0.01207608696	0.01496711409	0.04172013423	0.01556797386
7	chr1	940015	940240	0.1346153846	0	0.05952142857	0	0	0	0.02380714286	0.09047142857	0.01428571429	0.08332857143	0.04642857143	0.06428571429	0	0.15	0.1125857143	0	0.1190428571	0	0	0.02011428571	0.1752214286	0.03571428571
8	chr1	1048801	1049260	0.5	0.7941176471	0.7375	0.6176470588	0.5787055556	0.4107823529	0.7692307692	0.7058823529	0.4764111111	0.7453722222	0.7824166667	0.6184722222	0.7388944444	0.6196176471	0.7083333333	0.4351888889	0.7777777778	0.37315	0.3287	0.6583333333	0.6629777778	0.7805555556
9	chr1	1624418	1624957	0.0895037037	0.2681352941	0.4943941176	0.2692307692	0.19010625	0.235196875	0.5955941176	0.02272727273	0.1362514286	0.2636742857	0.3380971429	0.1874371429	0.2314285714	0.05555416667	0.1453742857	0.2685857143	0.2727272727	0.5000028571	0.183853125	0.1507142857	0.2623228571	0.1912228571
