	0	1	2	FoPHepN4_cfDNA_D10.chm13	FoPHepN1_cfDNA_D20.chm13	FoPHepN1_cfDNA_D0.chm13	FoPHepN4_cfDNA_D20.chm13	FoPHepN1_cfDNA_D10.chm13	FoPHepN1_gDNA_D10.chm13	FoPHepN4_gDNA_D10.chm13	FoPHepN4_gDNA_D0.chm13	FoPHepN3_cfDNA_D10.chm13	FoPHepN2_gDNA_D0.chm13	FoPHepN4_gDNA_D20.chm13	FoPHepN3_cfDNA_D20.chm13	FoPHepN2_cfDNA_D0.chm13	FoPHepN2_gDNA_D10.chm13	FoPHepN1_gDNA_D0.chm13	FoPHepN2_cfDNA_D20.chm13	FoPHepN3_gDNA_D20.chm13	FoPHepN4_cfDNA_D0.chm13	FoPHepN2_gDNA_D20.chm13	FoPHepN2_cfDNA_D10.chm13	FoPHepN1_gDNA_D20.chm13	FoPHepN3_cfDNA_D0.chm13
0	chr1	940015	940240	0.1346153846	0	0	0	0	0.02380714286	0.09047142857	0.1190428571	0.04642857143	0.08332857143	0	0.15	0.1752214286	0	0.1125857143	0	0.01428571429	0.03571428571	0	0.05952142857	0.02011428571	0.06428571429
1	chr1	6107847	6107905	0.458325	0.666675	0.75	0.625	1	0.750025	1	0	1	0.916675		1	0.9375	0.95	1	0.3333333333	0.875	1	0.825	1	0.304175	0.927275
2	chr1	7629129	7629221		0		0	1	0.08333333333	0.4444333333	0.8222333333	0.5555666667	0.8968	0.1111	0.1666666667	1	0.2	1	0	0.1666666667	1	0	0.5111	0	
3	chr1	7844684	7844764	0.08333333333	1	0.94445	0.7916666667	0.9166666667	1	1	0.9	1	1	1	0.9	0.9648166667	1	1	0.6666666667	0.9791666667	1	1	0.9523833333	1	1
4	chr1	8698023	8698199	0.2	0.3		0.06666	1	0.53334	0.7	0.76666	1	0.92	0.81666	0.06666	1	0.77	0.96	0.43	0.26666	0.98182	0.51308	0.9	0.1762	0.8997
5	chr1	10218669	10218964	0.1388888889	0.56667	1	0.55047	0.8	0.5	0.53501	0.755	0.6111111111	0.98	0.48333	0.4	0.97857	0.45	0.975	0.5185222222	0.60333	0.92262	0.44916	0.45167	0.48465	0.92321
6	chr1	12022475	12022674	0.3333333333	0.3333333333	0.8125	0.4375	0.916675	0.8958375	0.8645875	0.9392875	0.90625	0.8541625	0.552075		0.9875	0.875	1	0.6250125	0.5291625	0.948075	0.352075	0.8958375	0.125	0.9653875
7	chr1	18769487	18769618	0.9166666667	0.25	1	0.16665	0.6666666667	0.9166666667	0.2	0.9166666667	0.8361166667	0.9166666667	0.7519833333	0.75	0.8703666667	0.51945	0.7871166667	0.7222333333	0.66865	0.7869	0.8246	0.85	0.7374333333	0.70825
8	chr1	18889370	18889447		1		1	0.83334	0.5	1	1	1	1	1	0.6666666667	0.98	1	1	0.9	1	0.86	1	0.95	1	1
9	chr1	19977300	19977365	0.3333333333	0.8333333333	1	0.9166666667	0.6111	0.5666666667	1	1	0.8333333333	1	0.6666666667	0.9166666667	0.891	0.6666666667	0.8968	1	0.9444333333	0.8592666667		0.7	0.7746	0.6894
10	chr1	31739601	31739869	0.6666666667		1	0.25	0.75	0.6666666667	0.38055	0.9583333333		0.7361166667	0	0.3819333333	0.8634833333	0.50635	0.9111	0	0	0.9259166667	0.1166666667	0.25	0.0783	0.8650666667
11	chr1	32036197	32036355			0.5		0.6389	0.3	0	0.3333333333	0	0.6389	0	0.1666666667	0.6428666667	0	0.6997333333	0	0.3333333333	0.7555666667	0	0.3873	0	0.7560666667
12	chr1	33200363	33200789	0	0.1458375	0.3749875	0.083325	0.4583375	0.2916625	0.1666666667	0.3083375	0.508325	0.625	0	0.14375	0.6517	0.098225	0.2908125	0	0.03125	0.5926125	0.075	0.1979125	0.0491125	0.61715
13	chr1	44601488	44601693	0.3333333333	0.5416666667	0.4861166667	0.39285	0.19666	0.4166666667	0.5	0.7539666667	0.6722166667	0.5	0.5000166667	0.46665	0.5079333333	0.4793666667	0.5333333333	0.23332	0.6	0.4638166667	0.5222166667	0.3111	0.4287	0.3785833333
14	chr1	44678881	44679163	0.4838555556	0.3148111111	0.75	0.5555555556	0.1785714286	0.26666		0.41666	0.3333333333	0.85	0.38666	0.48333	0.54952	0.83333	0.58686	0.3333333333	0.3333333333	0.65772	0.36417	0.36215	0.26333	0.73452
15	chr1	47842620	47842854	0.625	0.75	1		0.69645	0.8333333333	0.63334	0.9166666667	0.4166666667	0.9761833333	0.04166666667	0.6111333333	0.9047666667	0.6111166667	0.9027666667	0.4361166667	0.06945	0.92095	0.4722	0.5472333333	0.18055	0.9737166667
16	chr1	51384928	51384992				1	1	0.9166666667	1	0.6666666667	1	1	0.5555666667	0.6944666667	1	1	1	1	0.8889	1	0.8333333333	1	0.4889	0.9265
17	chr1	51440874	51441002			1	0.2	0.70668	1	1	1	0.96	1	0.66984	0.85	0.93738	1	1	0.66668	0.92	0.97142	0.76428	1	0.60166	0.975
18	chr1	54155877	54156163	0.3333333333	0.37333	0.85	0.45	0.5277777778	0.3888888889		0.58972	0.79167	0.85833	0.47333	0.1428571429	0.8875	0.2	0.88334	0.13333	0.375	0.74425	0.38333	0.6	0.35944	0.85638
19	chr1	54156176	54156566	0.36667	0.6439454545	0.8636363636	0.6797636364	0.8815636364	0.9166727273		0.7583363636	0.8242454545	0.8863545455	0.7045454545	0.35	0.8417272727	0.8484818182	0.8636363636	0.7407444444	0.5	0.8281454545	0.8333333333	0.7725090909	0.5941909091	0.8342727273
20	chr1	54307975	54308115		0.375		0.5	0.58335	0.729175	0.25	0.95	1	0.940975	0.285725	0.458325	1	0.333325	1		0	0.927075	0.166675	0.74285	0.10715	1
21	chr1	56440648	56440794	0.6666666667	0.541675	1	0.3333333333	0.70835		1	0.9375	0.95	1	0.420825	0.458325	0.8995	1	0.87955	0.5625	0.653575	0.838825	0.671425	1	0.5625	0.8616
22	chr1	64831217	64831429	0.5			0	0.4444333333	0.6666666667	1	1	1	1	0.1944333333	1	0.9629666667	0.8111	1	0.2222		1	0.04166666667	0.9333333333	0.1778	1
23	chr1	67637882	67638042	0		0.166675	0	0	0.04	0	0	0.04	0.22666	0.025	0.125	0.28558	0.025	0.18	0.15	0	0.17918	0	0	0.02858	0.25828
24	chr1	92781055	92781267	0.6	0.96	0.8	0.51	0.73334	1		1	0.83334	0.97142	0.975	0.82	0.92698		1	0.95	1	1	1	0.97142	0.9	0.95922
25	chr1	111550205	111550554	0.75	0.875	1	0.7	0.8	0.7777833333	1			0.8839166667	0.8333333333	0.84125	0.94445	0.7989833333	0.79165	1	0.8889	0.94195	0.6666666667	0.9246	0.9166666667	0.9432
26	chr1	113018432	113018576			1	0.541675	0.6666666667	0.666675	1	0.916675	1	0.8	0.866675	0.625	0.979175	0.8875	0.854175	1	0.29165	0.95	0.76845	1	1	0.828875
27	chr1	119757381	119757630			0.4166714286	0.1296333333	0.2222222222	0.2407444444	0.3148111111	0.4833333333	0.3148111111	0.3505333333	0.1888888889	0.3928571429	0.4934666667	0.1481444444	0.4999888889	0.1851888889	0.2394111111	0.4571444444	0.1	0.1148111111	0.1284111111	0.4238444444
